setup,direction,entry_ts,exit_ts,entry_t,exit_t,stop_t,target_t,risk_ticks,pnl_ticks,pnl_usd,r_multiple,reason,mae_ticks,mfe_ticks,trend,lvn_strength,absorption_ratio,aggressor_share,stacked,hour
lvn,1,2024-01-03 14:43:19.596307,2024-01-03 14:56:32.702185,20105.0,20105.0,20106.0,20145.0,20.0,0.0,-1.24,0.0,breakeven,-1.0,25.0,0,0.9841552782729254,7.5175175175175175,0.5091877496671106,1,14
lvn,-1,2024-01-04 10:14:36.689559,2024-01-04 10:35:52.414154,20069.0,20069.0,20068.0,20027.0,21.0,-0.0,-1.24,-0.0,breakeven,-16.0,35.0,0,0.9253336274401677,4.985823336968375,0.5332458442694663,1,10
lvn+structure,1,2024-01-05 09:46:54.865929,2024-01-05 10:07:00.434366,20090.0,20090.0,20091.0,20132.0,21.0,0.0,-1.24,0.0,breakeven,-7.0,27.0,1,0.7333853050087702,2.7139013452914797,0.5584930601454065,1,9
lvn+structure,-1,2024-01-05 12:10:21.782876,2024-01-05 13:48:09.394726,20050.0,20071.0,20070.0,20010.0,20.0,-21.0,-27.49,-1.05,stop,-20.0,17.0,-1,0.7940732132481115,2.9096045197740112,0.5171521035598705,1,12
lvn,-1,2024-01-08 14:14:35.280559,2024-01-08 14:21:32.117734,20106.0,20114.0,20113.0,20092.0,7.0,-8.0,-11.24,-1.1428571428571428,stop,-9.0,4.0,0,0.7524555257916066,3.124561403508772,0.5165637282425604,1,14
structure,-1,2024-01-08 14:57:11.643906,2024-01-08 14:59:24.413943,20098.0,20098.0,20097.0,20090.0,4.0,-0.0,-1.24,-0.0,breakeven,-6.0,5.0,-1,0.0,5.580090497737556,0.5163801492053195,1,14
lvn,-1,2024-01-09 11:03:27.160650,2024-01-09 11:05:52.994711,19926.0,19916.0,19925.0,19916.0,5.0,10.0,11.26,2.0,objectif,-3.0,13.0,0,0.8431922774722191,5.160714285714286,0.5704399406821552,1,11
lvn,1,2024-01-09 13:43:53.896438,2024-01-09 13:49:39.208294,20133.0,20133.0,20134.0,20151.0,9.0,0.0,-1.24,0.0,breakeven,-7.0,9.0,0,0.8231154580152672,2.8528528528528527,0.5319298245614035,1,13
lvn,-1,2024-01-09 14:08:05.517322,2024-01-09 14:20:33.255539,20136.0,20156.0,20155.0,20098.0,19.0,-20.0,-26.24,-1.0526315789473684,stop,-21.0,2.0,1,0.8244274809160306,4.54,0.5694833800560672,1,14
structure,1,2024-01-10 13:41:50.116294,2024-01-10 13:47:37.182373,20110.0,20088.0,20089.0,20152.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-21.0,0.0,1,0.0,3.6842105263157894,0.553995157384988,1,13
lvn+structure,-1,2024-01-10 13:59:46.022086,2024-01-10 14:04:15.255472,20121.0,20113.0,20120.0,20113.0,4.0,8.0,8.76,2.0,objectif,-2.0,15.0,-1,0.9880695375525509,2.5269461077844313,0.5505529225908373,1,13
lvn+structure,1,2024-01-11 10:16:23.139095,2024-01-11 10:27:42.978110,20087.0,20129.0,20088.0,20129.0,21.0,42.0,51.26,2.0,objectif,-20.0,42.0,1,0.7135405227322644,3.727024567788899,0.568359375,1,10
lvn,-1,2024-01-11 13:07:56.147319,2024-01-11 13:10:59.657595,20193.0,20215.0,20214.0,20151.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-22.0,2.0,1,0.9943342776203966,6.435684647302905,0.5406189555125726,1,13
structure,-1,2024-01-11 14:44:48.789238,2024-01-11 14:47:24.473002,20229.0,20251.0,20250.0,20187.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-26.0,0.0,-1,0.0,3.9066390041493775,0.5698353690918747,1,14
structure,-1,2024-01-12 15:35:42.466474,2024-01-12 15:38:01.693217,20287.0,20296.0,20295.0,20271.0,8.0,-9.0,-12.49,-1.125,stop,-15.0,2.0,-1,0.0,3.5325490196078433,0.5106571936056838,1,15
lvn+structure,-1,2024-01-15 14:52:05.033219,2024-01-15 15:30:40.939881,20354.0,20354.0,20353.0,20312.0,21.0,-0.0,-1.24,-0.0,breakeven,-2.0,40.0,-1,0.8800399564111878,6.952602952602953,0.5031291908806437,1,14
lvn,1,2024-01-15 15:40:54.388332,2024-01-15 15:56:07.866957,20360.0,20354,20340.0,20400.0,20.0,-6.0,-8.74,-0.3,fin_de_seance,-18.0,9.0,0,0.8144751180530331,4.249752229930625,0.542910447761194,1,15
